Year	Lat	Lon	Depth	Mag
1975.73516	37.23	-90.89	5	2.7
1975.73516	37.22	-90.88	5	2.1
1975.73516	37.23	-90.88	5	2.8
1975.73516	36.05	-89.84	11	3.3
1975.75274	36.55	-89.55	5	1.5
1975.763699	36.13	-89.43	12	1.9
1975.766438	37.2	-90.92	5	1.5
1975.769178	36.6	-89.62	5	1.6
1975.777397	36.3	-91.8	5	1.2
1975.785616	36.73	-89.21	5	1.8
1975.785616	36.52	-89.6	5	1.4
1975.788356	36.57	-89.77	2	1
1975.791096	36.62	-89.6	5	1.1
1975.796575	36.59	-89.63	5	2
1975.799315	36.73	-89.51	14	1.9
1975.799315	36.56	-89.65	5	1.4
1975.799315	37.29	-90.92	5	2.2
1975.807534	36.31	-89.51	5	1.6
1975.807534	36.57	-89.76	2	1.4
1975.815753	35.72	-89.69	5	2.3
1975.818493	35.74	-90.3	5	2.5
1975.818493	36.58	-89.7	5	1.6
1975.823973	36.72	-89.52	15	1.7
1975.826712	36.3	-89.52	5	1.6
1975.826712	36.19	-89.45	5	1.4
1975.836073	36.28	-89.47	5	1.3
1975.838813	36.27	-89.5	5	1.4
1975.844292	36.31	-89.52	5	1.8
1975.844292	35.82	-90.16	5	2.1
1975.844292	35.81	-90.17	5	1.8
1975.852511	36.59	-89.63	5	1.5
1975.860731	36.36	-89.53	5	1.2
1975.86347	36.5	-89.56	5	1.8
1975.86621	36.08	-89.78	5	2.1
1975.885388	36.13	-88.69	5	1.8
1975.904566	36.15	-89.45	5	1.6
1975.907306	36.68	-89.53	5	1.4
1975.919406	35.61	-89.65	5	1.8
1975.927626	36.48	-89.55	5	1.6
1975.930365	36.28	-89.5	5	1.1
1975.935845	38.4	-88.2	5	2.2
1975.941324	36.51	-89.53	5	1.5
1975.941324	36.67	-89.56	5	1.6
1975.957763	36.11	-89.38	5	1.9
1975.965982	36.53	-89.8	5	1.3
1975.968721	36.17	-89.14	5	2.3
1975.97968	36.52	-89.51	5	1.6
1975.98516	36.57	-89.62	5	1.2
1975.98516	36.2	-89.65	5	1.5
1975.990639	36.56	-89.53	5	1.3
1975.990639	36.58	-89.63	5	1.2
1975.993379	36.43	-89.62	5	1.3
1976.00274	36.47	-89.56	5	1.6
1976.008219	36.54	-89.57	5	2.8
1976.008219	36.25	-89.56	5	1.5
1976.008219	36.56	-89.8	5	1.7
1976.010959	36.12	-89.41	5	2.1
1976.010959	36.55	-89.66	5	1.4
1976.019178	35.71	-90.06	5	2
1976.019178	36.48	-89.6	5	1.1
1976.024658	36.52	-89.57	5	1.2
1976.030137	36.54	-89.63	5	1.1
1976.030137	36.37	-89.59	5	1.5
1976.032877	36.57	-89.65	5	1.2
1976.035616	36.53	-89.79	5	1.5
1976.038356	36.09	-89.8	5	1.8
1976.049315	35.99	-89.91	5	2.3
1976.054795	36.94	-90.64	5	1.5
1976.057534	36.42	-89.57	5	1.7
1976.065753	36.52	-90.06	5	2.2
1976.068493	36.57	-89.64	5	1.4
1976.071233	36.35	-89.46	5	1.6
1976.079452	36.55	-89.55	5	1.4
1976.084932	36.51	-89.57	5	1.3
1976.084932	36.5	-89.55	5	1.8
1976.084932	36.5	-89.56	5	1.8
1976.084932	36.55	-89.59	5	1.3
1976.084932	36.52	-89.55	5	1.4
1976.084932	36.52	-89.57	5	1.5
1976.084932	36.47	-89.53	5	1.2
1976.086073	36.49	-89.56	5	1.7
1976.086073	36.49	-89.55	5	1.2
1976.086073	36.51	-89.52	5	1.4
1976.086073	36.4	-89.55	5	1.2
1976.086073	36.49	-89.55	5	1.4
1976.088813	36.49	-89.57	5	1.3
1976.088813	36.11	-89.77	5	1.5
1976.091553	36.44	-89.52	0	1.7
1976.097032	35.94	-89.93	5	1.8
1976.099772	38.17	-90.08	5	1.8
1976.110731	36.13	-89.74	5	1.6
1976.121689	36.11	-89.76	5	1.6
1976.124429	37.54	-91.06	5	1.7
1976.124429	37.37	-90	0	1.8
1976.124429	35.83	-90.08	5	1.6
1976.138128	36.57	-89.6	10	1.8
1976.143607	36.55	-89.63	5	1.2
1976.146347	36.55	-89.6	9	2.1
1976.154566	36.55	-89.6	5	1.6
1976.157306	35.79	-89.14	5	1.9
1976.174886	36.48	-89.56	5	1.6
1976.174886	36.57	-89.61	5	1.4
1976.177626	37.41	-90.09	5	1.6
1976.180365	36.46	-89.52	5	1.4
1976.191324	36.5	-89.54	5	1.7
1976.196804	36.55	-89.58	5	1.4
1976.210502	36.04	-89.84	10	1.6
1976.224201	36.54	-89.59	5	1.5
1976.224201	36.5	-89.51	5	1.9
1976.2379	36.51	-89.57	5	1.4
1976.2379	35.86	-90.1	5	1.9
1976.243379	36.51	-89.54	10	2.1
1976.243379	37.34	-89.52	5	1.6
1976.266438	36.48	-89.56	9	1.8
1976.280137	36.58	-89.64	5	1.2
1976.291096	36.57	-89.79	5	1.5
1976.291096	36.57	-89.46	10	1.6
1976.293836	36.39	-89.57	5	1.1
1976.296575	36.52	-89.68	5	1.1
1976.299315	37.65	-89.74	5	2.3
1976.302055	36.26	-89.55	5	1.6
1976.307534	36.55	-89.62	5	1.8
1976.313014	36.55	-89.62	5	1.3
1976.318493	35.59	-90.48	15	5
1976.318493	35.61	-90.48	15	4.5
1976.318493	35.65	-90.46	15	1.8
1976.321233	36.61	-89.59	9	1.9
1976.326712	36.47	-89.55	5	1.6
1976.341553	36.09	-88.82	5	1.6
1976.344292	37.82	-90.99	5	2.1
1976.347032	36.16	-90.8	5	1.4
1976.349772	36.51	-89.62	10	1.8
1976.352511	35.38	-90.59	15	1.6
1976.355251	37.2	-88.96	5	2.1
1976.355251	37.12	-88.88	5	2.2
1976.360731	36.55	-89.66	10	1.8
1976.360731	36.05	-89.82	5	1.8
1976.360731	36.14	-89.71	5	1.4
1976.360731	36.44	-89.51	5	1.6
1976.360731	36.1	-89.73	5	1.6
1976.371689	35.65	-90.47	15	2.1
1976.374429	36.72	-89.52	5	1.5
1976.385388	36.2	-89.49	5	1.8
1976.388128	36.19	-89.41	5	1.6
1976.396347	37.29	-89.52	5	2.2
1976.410046	36.03	-89.34	5	1.5
1976.415525	36.37	-89.54	5	1.4
1976.419406	36.43	-89.51	5	1.7
1976.419406	36.49	-89.61	5	1.1
1976.433105	36.46	-89.53	5	1.4
1976.441324	37.32	-89.3	5	1.1
1976.441324	37.1	-90.97	5	1.8
1976.441324	36.56	-89.73	5	1.5
1976.444064	36.45	-89.54	10	1.6
1976.455023	36.54	-89.61	5	1
1976.457763	36.31	-89.52	5	1.6
1976.463242	36.38	-89.53	5	1.6
1976.471461	35.82	-90.18	5	1.8
1976.471461	36.36	-89.49	5	1
1976.474201	36.22	-89.38	5	1.6
1976.476941	36.04	-89.84	10	3.2
1976.47968	36.13	-89.74	5	1.9
1976.47968	36.13	-89.74	5	1.4
1976.48242	36.07	-89.45	5	1.9
1976.48516	36.15	-89.76	5	2.4
1976.4879	36.24	-89.46	5	1.3
1976.490639	35.67	-90.42	5	1.9
1976.493379	36.6	-89.59	5	1.6
1976.493379	35.85	-90.01	5	1.6
1976.498858	36.21	-89.5	5	1.3
1976.50274	36.36	-89.55	5	1.4
1976.508219	35.94	-90.13	5	2
1976.516438	36.46	-89.57	5	1.4
1976.524658	36.57	-89.61	5	1.7
1976.541096	36.2	-89.41	5	1.6
1976.549315	36.4	-89.54	5	1.6
1976.552055	37.14	-90.5	5	2.4
1976.573973	36.3	-89.51	5	1.5
1976.573973	36.39	-89.55	5	1.4
1976.594292	36.77	-89.15	5	1.9
1976.594292	36.77	-89.15	5	1.8
1976.594292	36.54	-89.64	5	1.5
1976.594292	36.77	-89.15	5	1.9
1976.597032	36.09	-89.77	5	2.1
1976.635388	36.56	-89.63	5	1.4
1976.638128	36.11	-89.31	5	1.2
1976.646347	36.91	-88.96	5	1.7
1976.646347	36.91	-88.96	5	1.4
1976.646347	36.15	-89.45	5	1.7
1976.651826	36.27	-89.47	5	1.8
1976.654566	36.27	-89.45	5	1.6
1976.657306	36.46	-89.53	5	1.5
1976.657306	36.9	-88.96	5	2.3
1976.657306	36.92	-88.97	5	2.3
1976.657306	36.91	-88.96	5	1.3
1976.668265	36.27	-89.55	5	1.4
1976.674886	36.69	-89.79	5	1.8
1976.685845	36.92	-88.97	5	1.6
1976.685845	36.51	-89.55	5	1.6
1976.694064	36.64	-89.8	5	1.4
1976.694064	36.62	-89.56	5	1.4
1976.696804	36.67	-89.56	5	1.9
1976.705023	36.44	-89.55	5	1.9
1976.715982	36.16	-89.46	5	1.7
1976.721461	36.15	-89.51	5	1.4
1976.724201	35.03	-90.41	5	2.2
1976.73242	36.03	-89.82	5	1.4
1976.73242	36.62	-89.58	5	1.6
1976.7379	36.25	-89.5	5	1.8
1976.740639	36.17	-89.41	5	1.5
1976.746119	36.56	-89.67	5	1.2
1976.755479	35.97	-89.98	5	1.4
1976.771918	36.16	-89.69	5	2.3
1976.771918	36.57	-89.62	5	1.8
1976.771918	36.56	-89.63	5	1.7
